release_date,commodity,status,surprise,return_1d,price_before,price_after,report_date,news_sentiment,news_failure,cotton_world_ending_stocks_proj_current,cotton_world_ending_stocks_proj_prev,sugar_us_ending_stocks_proj_current,sugar_us_ending_stocks_proj_prev,wheat_us_ending_stocks_proj_current,wheat_us_ending_stocks_proj_prev,corn_us_ending_stocks_proj_current,corn_us_ending_stocks_proj_prev,soybeans_us_ending_stocks_proj_current,soybeans_us_ending_stocks_proj_prev
2020-01-10,cotton,Expected Reaction,-0.7299999999999898,0.008770619546963569,70.69000244140625,71.30999755859375,2020-01-01,Bullish,NO,79.59,80.32,1556.0,1655.0,965.0,974.0,1892.0,1910.0,475.0,475.0
2020-02-11,cotton,Bearish News Failure,2.530000000000001,0.0005866096802345097,68.19000244140625,68.2300033569336,2020-02-01,Bearish,YES,82.12,79.59,1516.0,1556.0,940.0,965.0,1892.0,1892.0,425.0,475.0
2020-03-10,cotton,Bearish News Failure,1.2800000000000011,0.00032579341851311935,61.38999938964844,61.40999984741211,2020-03-01,Bearish,YES,83.4,82.12,888.0,1516.0,940.0,940.0,1892.0,1892.0,425.0,425.0
2020-04-09,cotton,Bearish News Failure,7.859999999999999,0.009843959468699962,53.84000015258789,54.369998931884766,2020-04-01,Bearish,YES,91.26,83.4,1434.0,888.0,970.0,940.0,2092.0,1892.0,480.0,425.0
2020-05-12,cotton,Neutral/No Change,,0.0301959924460508,56.630001068115234,58.34000015258789,2020-05-01,Neutral,N/A,99.43,,1468.0,1273.0,,,,,,
2020-06-11,cotton,Expected Reaction,5.239999999999995,-0.008097799989446697,60.5099983215332,60.02000045776367,2020-06-01,Bearish,NO,104.67,99.43,1468.0,1468.0,925.0,909.0,3323.0,3318.0,395.0,405.0
2020-07-10,cotton,Expected Reaction,-1.9000000000000057,0.021629285263410146,63.34000015258789,64.70999908447266,2020-07-01,Bullish,NO,102.77,104.67,1656.0,1468.0,942.0,925.0,2648.0,3323.0,425.0,395.0
2020-08-12,cotton,Expected Reaction,2.1400000000000006,-0.018879877038802305,63.029998779296875,61.84000015258789,2020-08-01,Bearish,NO,104.91,102.77,1788.0,1656.0,925.0,942.0,2756.0,2648.0,610.0,425.0
2020-09-11,cotton,Expected Reaction,-1.0699999999999932,0.001563453338844247,63.959999084472656,64.05999755859375,2020-09-01,Bullish,NO,103.84,104.91,1659.0,1788.0,925.0,925.0,2503.0,2756.0,460.0,610.0
2020-10-09,cotton,Expected Reaction,-2.710000000000008,0.02190658550777025,66.19000244140625,67.63999938964844,2020-10-01,Bullish,NO,101.13,103.84,1749.0,1659.0,883.0,925.0,2167.0,2503.0,290.0,460.0
2020-11-10,cotton,Expected Reaction,0.3100000000000023,-0.002142878941127232,70.0,69.8499984741211,2020-11-01,Bearish,NO,101.44,101.13,1309.0,1749.0,877.0,883.0,1702.0,2167.0,190.0,290.0
2020-12-10,cotton,Expected Reaction,-3.9200000000000017,0.016563984037281158,73.05000305175781,74.26000213623047,2020-12-01,Bullish,NO,97.52,101.44,1666.0,1309.0,862.0,877.0,1702.0,1702.0,175.0,190.0
2021-01-12,cotton,Expected Reaction,-1.2000000000000028,0.015790086264424397,80.43000030517578,81.69999694824219,2021-01-01,Bullish,NO,96.32,97.52,1777.0,1666.0,836.0,862.0,1552.0,1702.0,140.0,175.0
2021-02-09,cotton,Expected Reaction,-0.5799999999999983,0.03144282824230262,84.27999877929688,86.93000030517578,2021-02-01,Bullish,NO,95.74,96.32,1993.0,1777.0,836.0,836.0,1502.0,1552.0,120.0,140.0
2021-03-09,cotton,Bullish News Failure,-1.1499999999999915,-0.046098883885569805,86.7699966430664,82.7699966430664,2021-03-01,Bullish,YES,94.59,95.74,1848.0,1993.0,836.0,836.0,1502.0,1502.0,120.0,120.0
2021-04-09,cotton,Expected Reaction,-1.1300000000000097,0.012160641435154555,81.41000366210938,82.4000015258789,2021-04-01,Bullish,NO,93.46,94.59,1848.0,1848.0,852.0,836.0,1352.0,1502.0,120.0,120.0
