event_name,instrument,ticker,sentiment_rule
CPI (YoY),ES,ES=F,Actual < Forecast = Bullish
CPI (YoY),ZN,ZN=F,Actual < Forecast = Bullish
CPI (MoM),ES,ES=F,Actual < Forecast = Bullish
CPI (MoM),ZN,ZN=F,Actual < Forecast = Bullish
Core CPI (YoY),ES,ES=F,Actual < Forecast = Bullish
Core CPI (YoY),ZN,ZN=F,Actual < Forecast = Bullish
Core CPI (MoM),ES,ES=F,Actual < Forecast = Bullish
Core CPI (MoM),ZN,ZN=F,Actual < Forecast = Bullish
PCE Price Index,ZN,ZN=F,Actual < Forecast = Bullish
PCE Price Index,ES,ES=F,Actual < Forecast = Bullish
Core PCE Price Index,ES,ES=F,Actual < Forecast = Bullish
Core PCE Price Index,ZN,ZN=F,Actual < Forecast = Bullish
PPI (MoM),ES,ES=F,Actual < Forecast = Bullish
PPI (MoM),ZN,ZN=F,Actual < Forecast = Bullish
PPI (YoY),ES,ES=F,Actual < Forecast = Bullish
PPI (YoY),ZN,ZN=F,Actual < Forecast = Bullish
Core PPI (MoM),ES,ES=F,Actual < Forecast = Bullish
Core PPI (MoM),ZN,ZN=F,Actual < Forecast = Bullish
Core PPI (YoY),ES,ES=F,Actual < Forecast = Bullish
Core PPI (YoY),ZN,ZN=F,Actual < Forecast = Bullish
PPI Final Demand,ES,ES=F,Actual < Forecast = Bullish
PPI ex. Food/Energy/Transport (MoM),ES,ES=F,Actual < Forecast = Bullish
PPI ex. Food/Energy/Transport (YoY),ES,ES=F,Actual < Forecast = Bullish
Employment Cost Index,ES,ES=F,Actual < Forecast = Bullish
Employment Cost Index,ZN,ZN=F,Actual < Forecast = Bullish
Nonfarm Payrolls,ES,ES=F,Actual > Forecast = Bullish
Nonfarm Payrolls,ZN,ZN=F,Actual > Forecast = Bullish
ADP Nonfarm Employment Change,ES,ES=F,Actual > Forecast = Bullish
ADP Nonfarm Employment Change,ZN,ZN=F,Actual > Forecast = Bullish
Unemployment Rate,ES,ES=F,Actual < Forecast = Bullish
Unemployment Rate,ZN,ZN=F,Actual < Forecast = Bullish
Average Hourly Earnings,ES,ES=F,Actual > Forecast = Bullish
Average Hourly Earnings,ZN,ZN=F,Actual > Forecast = Bullish
Initial Jobless Claims,ES,ES=F,Actual < Forecast = Bullish
Initial Jobless Claims,ZN,ZN=F,Actual < Forecast = Bullish
Continuing Jobless Claims,ZN,ZN=F,Actual < Forecast = Bullish
Continuing Jobless Claims,ES,ES=F,Actual < Forecast = Bullish
JOLTS Job Openings,ZN,ZN=F,Actual > Forecast = Bullish
JOLTS Job Openings,ES,ES=F,Actual > Forecast = Bullish
Retail Sales (MoM),ES,ES=F,Actual > Forecast = Bullish
Retail Sales (MoM),ZN,ZN=F,Actual < Forecast = Bullish
Core Retail Sales (MoM),ES,ES=F,Actual > Forecast = Bullish
Personal Income (MoM),ES,ES=F,Actual > Forecast = Bullish
Personal Spending (MoM),ES,ES=F,Actual > Forecast = Bullish
Durable Goods Orders,ES,ES=F,Actual > Forecast = Bullish
Durable Goods Orders,ZN,ZN=F,Actual > Forecast = Bullish
Durables Excluding Defense (MoM),ES,ES=F,Actual > Forecast = Bullish
Durables Excluding Transport (MoM),ES,ES=F,Actual > Forecast = Bullish
Factory Orders (MoM),ES,ES=F,Actual > Forecast = Bullish
