report_date,cotton_world_ending_stocks_proj_current,cotton_world_ending_stocks_proj_prev,sugar_us_ending_stocks_proj_current,sugar_us_ending_stocks_proj_prev,wheat_us_ending_stocks_proj_current,wheat_us_ending_stocks_proj_prev,corn_us_ending_stocks_proj_current,corn_us_ending_stocks_proj_prev,soybeans_us_ending_stocks_proj_current,soybeans_us_ending_stocks_proj_prev
2020-01-01,79.59,80.32,1556.0,1655.0,965.0,974.0,1892.0,1910.0,475.0,475.0
2020-02-01,82.12,79.59,1516.0,1556.0,940.0,965.0,1892.0,1892.0,425.0,475.0
2020-03-01,83.4,82.12,888.0,1516.0,940.0,940.0,1892.0,1892.0,425.0,425.0
2020-04-01,91.26,83.4,1434.0,888.0,970.0,940.0,2092.0,1892.0,480.0,425.0
2020-05-01,99.43,,1468.0,1273.0,,,,,,
2020-06-01,104.67,99.43,1468.0,1468.0,925.0,909.0,3323.0,3318.0,395.0,405.0
2020-07-01,102.77,104.67,1656.0,1468.0,942.0,925.0,2648.0,3323.0,425.0,395.0
2020-08-01,104.91,102.77,1788.0,1656.0,925.0,942.0,2756.0,2648.0,610.0,425.0
2020-09-01,103.84,104.91,1659.0,1788.0,925.0,925.0,2503.0,2756.0,460.0,610.0
2020-10-01,101.13,103.84,1749.0,1659.0,883.0,925.0,2167.0,2503.0,290.0,460.0
2020-11-01,101.44,101.13,1309.0,1749.0,877.0,883.0,1702.0,2167.0,190.0,290.0
2020-12-01,97.52,101.44,1666.0,1309.0,862.0,877.0,1702.0,1702.0,175.0,190.0
2021-01-01,96.32,97.52,1777.0,1666.0,836.0,862.0,1552.0,1702.0,140.0,175.0
2021-02-01,95.74,96.32,1993.0,1777.0,836.0,836.0,1502.0,1552.0,120.0,140.0
2021-03-01,94.59,95.74,1848.0,1993.0,836.0,836.0,1502.0,1502.0,120.0,120.0
2021-04-01,93.46,94.59,1848.0,1848.0,852.0,836.0,1352.0,1502.0,120.0,120.0
2021-05-01,90.99,,1502.0,1805.0,,,,,,
2021-06-01,89.3,90.99,1452.0,1502.0,770.0,774.0,1357.0,1507.0,155.0,140.0
2021-07-01,87.74,89.3,1656.0,1452.0,665.0,770.0,1432.0,1357.0,155.0,155.0
2021-08-01,87.23,87.74,1672.0,1656.0,627.0,665.0,1242.0,1432.0,155.0,155.0
2021-09-01,86.68,87.23,1666.0,1672.0,615.0,627.0,1408.0,1242.0,185.0,155.0
2021-10-01,87.13,86.68,1627.0,1666.0,580.0,615.0,1500.0,1408.0,320.0,185.0
2021-11-01,86.93,87.13,1765.0,1627.0,583.0,580.0,1493.0,1500.0,340.0,320.0
2021-12-01,85.73,86.93,1678.0,1765.0,598.0,583.0,1493.0,1493.0,340.0,340.0
2022-01-01,85.01,85.73,1773.0,1678.0,628.0,598.0,1540.0,1493.0,350.0,340.0
2022-02-01,84.31,85.01,1818.0,1773.0,648.0,628.0,1540.0,1540.0,325.0,350.0
2022-03-01,82.57,84.31,1692.0,1818.0,653.0,648.0,1440.0,1540.0,285.0,325.0
2022-04-01,83.38,82.57,1567.0,1692.0,678.0,653.0,1440.0,1440.0,260.0,285.0
2022-05-01,82.82,,1266.0,1813.0,,,,,,
2022-06-01,82.77,82.82,963.0,1266.0,627.0,619.0,1400.0,1360.0,280.0,310.0
2022-07-01,84.26,82.77,1564.0,963.0,639.0,627.0,1470.0,1400.0,230.0,280.0
2022-08-01,82.77,84.26,1814.0,1564.0,610.0,639.0,1388.0,1470.0,245.0,230.0
2022-09-01,84.75,82.77,1710.0,1814.0,610.0,610.0,1219.0,1388.0,200.0,245.0
2022-10-01,87.87,84.75,1872.0,1710.0,576.0,610.0,1172.0,1219.0,200.0,200.0
2022-11-01,87.27,87.87,1701.0,1872.0,571.0,576.0,1182.0,1172.0,220.0,200.0
2022-12-01,89.56,87.27,1707.0,1701.0,571.0,571.0,1257.0,1182.0,220.0,220.0
2023-01-01,89.93,89.56,1885.0,1707.0,567.0,571.0,1242.0,1257.0,210.0,220.0
2023-02-01,89.08,89.93,1874.0,1885.0,568.0,567.0,1267.0,1242.0,225.0,210.0
2023-03-01,91.15,89.08,1720.0,1874.0,568.0,568.0,1342.0,1267.0,210.0,225.0
2023-04-01,92.01,91.15,1897.0,1720.0,598.0,568.0,1342.0,1342.0,210.0,210.0
2023-05-01,92.28,,1444.0,1734.0,,,,,,
2023-06-01,92.79,92.28,1353.0,1444.0,562.0,556.0,2257.0,2222.0,350.0,335.0
2023-07-01,94.52,92.79,1719.0,1353.0,592.0,562.0,2262.0,2257.0,300.0,350.0
2023-08-01,91.6,94.52,1942.0,1719.0,615.0,592.0,2202.0,2262.0,245.0,300.0
2023-09-01,89.96,91.6,1714.0,1942.0,615.0,615.0,2221.0,2202.0,220.0,245.0
2023-10-01,79.92,89.96,1557.0,1714.0,670.0,615.0,2111.0,2221.0,220.0,220.0
2023-11-01,81.5,79.92,1569.0,1557.0,684.0,670.0,2156.0,2111.0,245.0,220.0
2023-12-01,82.4,81.5,1624.0,1569.0,659.0,684.0,2131.0,2156.0,245.0,245.0
2024-01-01,84.38,82.4,1754.0,1624.0,648.0,659.0,2162.0,2131.0,280.0,245.0
2024-02-01,83.7,84.38,1805.0,1754.0,658.0,648.0,2172.0,2162.0,315.0,280.0
2024-03-01,83.34,83.7,1701.0,1805.0,673.0,658.0,2172.0,2172.0,315.0,315.0
2024-04-01,83.08,83.34,1722.0,1701.0,698.0,673.0,2122.0,2172.0,340.0,315.0
2024-05-01,83.01,,1464.0,1758.0,,,,,,
2024-06-01,83.49,83.01,1445.0,1464.0,758.0,766.0,2102.0,2102.0,455.0,445.0
2024-07-01,82.63,83.49,1695.0,1445.0,856.0,758.0,2097.0,2102.0,435.0,455.0
2024-08-01,77.61,82.63,1985.0,1695.0,828.0,856.0,2073.0,2097.0,560.0,435.0
2024-09-01,76.49,77.61,1777.0,1985.0,828.0,828.0,2057.0,2073.0,550.0,560.0
2024-10-01,76.33,76.49,1788.0,1777.0,812.0,828.0,1999.0,2057.0,550.0,550.0
2024-11-01,75.75,76.33,1464.0,1788.0,815.0,812.0,1938.0,1999.0,470.0,550.0
2024-12-01,76.02,75.75,1696.0,1464.0,795.0,815.0,1738.0,1938.0,470.0,470.0
2025-01-01,77.91,76.02,1939.0,1696.0,798.0,795.0,1540.0,1738.0,380.0,470.0
2025-02-01,78.41,77.91,1913.0,1939.0,794.0,798.0,1540.0,1540.0,380.0,380.0
2025-03-01,78.33,78.41,1872.0,1913.0,819.0,794.0,1540.0,1540.0,380.0,380.0
2025-04-01,78.86,78.33,2016.0,1872.0,846.0,819.0,1465.0,1540.0,375.0,380.0
